# Coinbase — every documented endpoint, enumerated 2026-08-31
#
# Method and path read from each page's own `pageMetadata.openapi` field.
# derivatives-api and Deribit publish specs instead; those are listed from the spec.
# page<TAB>METHOD path

international-exchange-api/rest-api/instruments/get-aggegated-candles	GET /api/v1/instruments/{instrument}/candles
international-exchange-api/rest-api/instruments/get-daily-trading-volume	GET /api/v1/instruments/volumes/daily
international-exchange-api/rest-api/instruments/get-historical-funding-rate	GET /api/v1/instruments/{instrument}/funding
international-exchange-api/rest-api/instruments/get-instrument-details	GET /api/v1/instruments/{instrument}
international-exchange-api/rest-api/instruments/get-quote-per-instrument	GET /api/v1/instruments/{instrument}/quote
international-exchange-api/rest-api/instruments/list-instruments	GET  /api/v1/instruments
international-exchange-api/rest-api/orders/cancel-order	DELETE /api/v1/orders/{id}
international-exchange-api/rest-api/orders/cancel-orders	DELETE /api/v1/orders
international-exchange-api/rest-api/orders/create-order	POST /api/v1/orders
international-exchange-api/rest-api/orders/get-order-details	GET /api/v1/orders/{id}
international-exchange-api/rest-api/orders/list-open-orders	GET /api/v1/orders
international-exchange-api/rest-api/orders/modify-open-order	PUT /api/v1/orders/{id}
international-exchange-api/rest-api/portfolios/acquire-and-repay-loan	POST /api/v1/portfolios/{portfolio}/loans/{asset}
international-exchange-api/rest-api/portfolios/create-portfolio	POST /api/v1/portfolios
international-exchange-api/rest-api/portfolios/enable-and-disable-cross	POST  /api/v1/portfolios/{portfolio}/cross-collateral-enabled
international-exchange-api/rest-api/portfolios/enable-and-disable-portfolio	POST /api/v1/portfolios/{portfolio}/auto-margin-enabled
international-exchange-api/rest-api/portfolios/get-balance-for-assests	GET /api/v1/portfolios/{portfolio}/balances/{asset}
international-exchange-api/rest-api/portfolios/get-fund-transfer-limit	GET /api/v1/portfolios/transfer/{portfolio}/{asset}/transfer-limit
international-exchange-api/rest-api/portfolios/get-loan-info-for-portfolio	GET /api/v1/portfolios/{portfolio}/loans/{asset}
international-exchange-api/rest-api/portfolios/get-portfolio-details	GET  /api/v1/portfolios/{portfolio}/detail
international-exchange-api/rest-api/portfolios/get-portfolio-margin-call	GET /api/v1/portfolios/{portfolio}/margin-call-status
international-exchange-api/rest-api/portfolios/get-portfolio-summary	GET /api/v1/portfolios/{portfolio}/summary
international-exchange-api/rest-api/portfolios/get-position-portfolio	GET /api/v1/portfolios/{portfolio}/positions/{instrument}
international-exchange-api/rest-api/portfolios/get-the-open-position-limits	GET /api/v1/portfolios/{portfolio}/position-limits/positions/{instrument}
international-exchange-api/rest-api/portfolios/get-the-total-open-position-limits	GET /api/v1/portfolios/{portfolio}/position-limits
international-exchange-api/rest-api/portfolios/get-user-portfolio	GET /api/v1/portfolios/{portfolio}
international-exchange-api/rest-api/portfolios/list-active-loans-for-the-portfolio	GET /api/v1/portfolios/{portfolio}/loans
international-exchange-api/rest-api/portfolios/list-all-user-portfolios	GET /api/v1/portfolios
international-exchange-api/rest-api/portfolios/list-fills-portfolio	GET /api/v1/portfolios/fills
international-exchange-api/rest-api/portfolios/list-open-position-limit	GET /api/v1/portfolios/{portfolio}/position-limits/positions
international-exchange-api/rest-api/portfolios/list-portfolio-balances	GET /api/v1/portfolios/{portfolio}/balances
international-exchange-api/rest-api/portfolios/list-portfolio-fee-rates	GET /api/v1/portfolios/fee-rates
international-exchange-api/rest-api/portfolios/list-portfolio-fills	GET /api/v1/portfolios/{portfolio}/fills
international-exchange-api/rest-api/portfolios/list-portfolio-positions	GET /api/v1/portfolios/{portfolio}/positions
international-exchange-api/rest-api/portfolios/patch-portfolio	PATCH /api/v1/portfolios/{portfolio}
international-exchange-api/rest-api/portfolios/preview-loan-update	POST /api/v1/portfolios/{portfolio}/loans/{asset}/preview
international-exchange-api/rest-api/portfolios/set-profile-margin	POST /api/v1/portfolios/margin
international-exchange-api/rest-api/portfolios/transfer-funds	POST /api/v1/portfolios/transfer
international-exchange-api/rest-api/portfolios/transfer-positions	POST /api/v1/portfolios/transfer-position
international-exchange-api/rest-api/portfolios/update-portfolio	PUT /api/v1/portfolios/{portfolio}
international-exchange-api/rest-api/portfolios/view-max-loan	GET /api/v1/portfolios/{portfolio}/loans/{asset}/availability
international-exchange-api/rest-api/position-offsets/list-position-offsets	GET /api/v1/position-offsets
international-exchange-api/rest-api/rankings/get-your-rankings	GET /api/v1/rankings/statistics
international-exchange-api/rest-api/transfers/create-counterparty-id	POST /api/v1/transfers/create-counterparty-id
international-exchange-api/rest-api/transfers/create-crypto-address	POST /api/v1/transfers/address
international-exchange-api/rest-api/transfers/get-counterparty-withdrawal-limit	GET /api/v1/transfers/withdraw/{portfolio}/{asset}/counterparty-withdrawal-limit
international-exchange-api/rest-api/transfers/get-transfer	GET /api/v1/transfers/{transfer_uuid}
international-exchange-api/rest-api/transfers/list-matching-transfers	GET /api/v1/transfers
international-exchange-api/rest-api/transfers/validate-counterparty-id	POST /api/v1/transfers/validate-counterparty-id
international-exchange-api/rest-api/transfers/withdraw-to-counterparty-id	POST /api/v1/transfers/withdraw/counterparty
international-exchange-api/rest-api/transfers/withdraw-to-crypto-address	POST /api/v1/transfers/withdraw
prime-api/rest-api/activities/get-activity-by-activity-id	GET /v1/activities/{activity_id}
prime-api/rest-api/activities/get-portfolio-activity-by-activity-id	GET /v1/portfolios/{portfolio_id}/activities/{activity_id}
prime-api/rest-api/activities/list-activities	GET /v1/portfolios/{portfolio_id}/activities
prime-api/rest-api/activities/list-entity-activities	GET /v1/entities/{entity_id}/activities
prime-api/rest-api/address-book/create-address-book-entry	POST /v1/portfolios/{portfolio_id}/address_book
prime-api/rest-api/address-book/get-address-book	GET /v1/portfolios/{portfolio_id}/address_book
prime-api/rest-api/advanced-transfer/cancel-advanced-transfer	post /v1/portfolios/{portfolio_id}/advanced_transfers/{advanced_transfer_id}/cancel
prime-api/rest-api/advanced-transfer/create-advanced-transfer	post /v1/portfolios/{portfolio_id}/advanced_transfers
prime-api/rest-api/advanced-transfer/get-portfolio-counterparty-id	get /v1/portfolios/{portfolio_id}/counterparty
prime-api/rest-api/advanced-transfer/list-advanced-transfers	get /v1/portfolios/{portfolio_id}/advanced_transfers
prime-api/rest-api/allocations/create-portfolio-allocations	POST /v1/allocations
prime-api/rest-api/allocations/create-portfolio-net-allocations	POST /v1/allocations/net
prime-api/rest-api/allocations/get-allocation-by-id	GET /v1/portfolios/{portfolio_id}/allocations/{allocation_id}
prime-api/rest-api/allocations/get-net-allocations-by-netting-id	GET /v1/portfolios/{portfolio_id}/allocations/net/{netting_id}
prime-api/rest-api/allocations/get-portfolio-allocations	GET  /v1/portfolios/{portfolio_id}/allocations
prime-api/rest-api/allocations/list-portfolio-allocations	get /v1/portfolios/{portfolio_id}/allocations
prime-api/rest-api/api-key-management/rotate-api-key	POST /v1/api-keys/rotate
prime-api/rest-api/assets/list-assets	GET /v1/entities/{entity_id}/assets
prime-api/rest-api/balances/get-wallet-balance	GET /v1/portfolios/{portfolio_id}/wallets/{wallet_id}/balance
prime-api/rest-api/balances/list-entity-balances	GET  /v1/entities/{entity_id}/balances
prime-api/rest-api/balances/list-onchain-wallet-balances	GET  /v1/portfolios/{portfolio_id}/wallets/{wallet_id}/web3_balances
prime-api/rest-api/balances/list-portfolio-balances	GET /v1/portfolios/{portfolio_id}/balances
prime-api/rest-api/commission/get-portfolio-commission	GET /v1/portfolios/{portfolio_id}/commission
